,precision,recall,f1-score,support
0,0.8823529411764706,0.9246575342465754,0.903010033444816,146.0
1,0.9266666666666666,0.9391891891891891,0.9328859060402684,148.0
2,0.8590604026845637,0.8707482993197279,0.8648648648648649,147.0
3,0.9594594594594594,0.9594594594594594,0.9594594594594594,148.0
4,0.9863945578231292,0.9666666666666667,0.9764309764309764,150.0
5,0.9673202614379085,0.9932885906040269,0.9801324503311258,149.0
6,0.9652777777777778,0.9328859060402684,0.9488054607508533,149.0
7,0.8943661971830986,0.8581081081081081,0.8758620689655172,148.0
8,0.9662162162162162,0.9662162162162162,0.9662162162162162,148.0
9,0.9928571428571429,0.9858156028368794,0.9893238434163701,141.0
accuracy,0.9396200814111262,0.9396200814111262,0.9396200814111262,0.9396200814111262
macro avg,0.9399971623282433,0.9397035572687118,0.9396991279920467,1474.0
weighted avg,0.9399778976361091,0.9396200814111262,0.9396474609609933,1474.0
